gene,importance_HER2+,importance_HR+,importance_Triple Neg,selection_freq
U6,2.396771,3.917371,4.041462,1.0000
Y_RNA,2.245017,3.591992,3.572893,1.0000
SRP_euk_arch,1.358773,2.351601,2.434499,1.0000
5S_rRNA,1.017080,1.401037,1.371959,0.9983
7SK,0.421533,0.806654,0.748051,1.0000
SNORD115,0.137351,0.589810,0.578277,0.3550
U1,0.347067,0.529957,0.486520,0.9583
U2,0.227268,0.288410,0.386600,0.9550
PNMT,0.381974,0.188139,0.202174,1.0000
ZPBP2,0.381974,0.188139,0.202174,1.0000
GRB7,0.381974,0.188139,0.202174,1.0000
C17orf37,0.381974,0.188139,0.202174,1.0000
IKZF3,0.381974,0.188139,0.202174,1.0000
PERLD1,0.381974,0.188139,0.202174,1.0000
TCAP,0.381974,0.188139,0.202174,1.0000
ERBB2,0.381974,0.188139,0.202174,1.0000
AC079199.2,0.381974,0.188139,0.202174,1.0000
U4,0.193410,0.340467,0.377247,0.9667
SNORD116,0.068821,0.299247,0.294786,0.2000
U3,0.162312,0.219565,0.232543,0.9067
SNORA71,0.084364,0.225300,0.218255,0.2483
U6atac,0.102122,0.191654,0.194824,0.9450
U8,0.090882,0.111446,0.190249,0.3250
CT47A11,0.089754,0.140468,0.149429,0.1150
FAM7A1,0.074136,0.081292,0.146834,0.0383
VAC14,0.022014,0.144438,0.126491,0.6383
SNORA64,0.051465,0.130433,0.090217,0.4967
SNORA70,0.104997,0.128203,0.118666,0.8517
RP11-327I22.9,0.022606,0.116398,0.089539,0.0750
RP11-15E1.1,0.022606,0.116398,0.089539,0.0750
AL513478.10-1,0.022606,0.116398,0.089539,0.0750
RP11-399F4.2,0.022606,0.116398,0.089539,0.0750
RP11-399F4.1,0.022606,0.116398,0.089539,0.0750
RP11-15E1.3,0.022606,0.116398,0.089539,0.0750
RP11-399F4.3,0.022606,0.116398,0.089539,0.0750
RP11-327I22.1,0.022606,0.116398,0.089539,0.0750
USP10,0.008699,0.095460,0.115413,0.1583
AC009022.10,0.021837,0.114287,0.085730,0.3583
VPS53,0.067226,0.054396,0.103276,0.7467
SNORA2,0.035412,0.095213,0.074851,0.4350
SNORD74,0.033388,0.082109,0.094261,0.4950
RAB21,0.011641,0.093937,0.080744,0.4267
TBC1D15,0.011641,0.093937,0.080744,0.4267
SNORA51,0.039910,0.088028,0.084398,0.5683
RASSF3,0.025548,0.059495,0.087734,0.3917
GNS,0.025548,0.059495,0.087734,0.3917
AC025262.27,0.025548,0.059495,0.087734,0.3917
TBC1D30,0.025548,0.059495,0.087734,0.3917
GNAS,0.084899,0.039064,0.058735,0.4567
EPHA3,0.012246,0.081361,0.067995,0.2000
SIRPB1,0.041356,0.077950,0.036091,0.2700
NARS2,0.042412,0.035456,0.074596,0.4900
SNORD77,0.031569,0.043355,0.073790,0.3633
SSU_rRNA_5,0.050301,0.044872,0.073724,0.3733
AARS,0.014061,0.073198,0.068340,0.4133
NCRNA00169,0.020785,0.072650,0.040461,0.5417
CDH13,0.005289,0.055552,0.068800,0.4500
U5,0.042283,0.061667,0.067194,0.8533
UCHL5IP,0.040927,0.066417,0.043821,0.4000
CSAG2,0.040927,0.066417,0.043821,0.4000
MKL1,0.021582,0.065275,0.039483,0.3050
AC009053.7-2,0.012063,0.063789,0.055030,0.4733
NPIPL2,0.012063,0.063789,0.055030,0.4733
CLEC18B,0.012063,0.063789,0.055030,0.4733
AC018695.6,0.005620,0.053901,0.063632,0.1583
AC092327.4,0.005620,0.053901,0.063632,0.1583
COX4NB,0.005620,0.053901,0.063632,0.1583
hsa-mir-1910,0.005620,0.053901,0.063632,0.1583
KLHDC4,0.005620,0.053901,0.063632,0.1583
TMEM148,0.005620,0.053901,0.063632,0.1583
AC092275.3,0.005620,0.053901,0.063632,0.1583
CRISPLD2,0.005620,0.053901,0.063632,0.1583
AC010531.8-2,0.005620,0.053901,0.063632,0.1583
C16orf74,0.005620,0.053901,0.063632,0.1583
ZCCHC14,0.005620,0.053901,0.063632,0.1583
FOXC2,0.005620,0.053901,0.063632,0.1583
FBXO31,0.005620,0.053901,0.063632,0.1583
FOXF1,0.005620,0.053901,0.063632,0.1583
FOXL1,0.005620,0.053901,0.063632,0.1583
JPH3,0.005620,0.053901,0.063632,0.1583
MAP1LC3B,0.005620,0.053901,0.063632,0.1583
AC010531.8-1,0.005620,0.053901,0.063632,0.1583
AC025280.5,0.005620,0.053901,0.063632,0.1583
FAM92B,0.005620,0.053901,0.063632,0.1583
AC010536.8,0.005620,0.053901,0.063632,0.1583
MTHFSD,0.005620,0.053901,0.063632,0.1583
SLC7A5,0.005620,0.053901,0.063632,0.1583
ZDHHC7,0.005620,0.053901,0.063632,0.1583
KIAA0182,0.005620,0.053901,0.063632,0.1583
