gene,importance_HER2+,importance_HR+,importance_Triple Neg,selection_freq
U6,8.698927,11.016747,12.368139,0.9683
Y_RNA,7.119444,9.265652,9.683246,0.9583
SRP_euk_arch,4.689153,5.842694,6.156550,0.9850
5S_rRNA,3.783303,4.429578,4.733646,0.9500
7SK,1.912572,2.691801,2.492774,0.9117
U1,1.022007,1.351247,1.304562,0.8583
U4,0.757904,1.132221,1.220413,0.9083
U3,0.641088,0.763702,0.756667,0.9200
U2,0.575800,0.611401,0.704592,0.9067
SNORD115,0.137810,0.605943,0.498384,0.1483
CT47A11,0.237384,0.416565,0.344892,0.4867
SNORD113,0.395564,0.309268,0.349576,0.1217
U6atac,0.306181,0.315756,0.366505,0.8517
SNORA70,0.193889,0.326821,0.352749,0.7100
ZPBP2,0.333987,0.148547,0.192179,0.8150
SNORD116,0.088828,0.318191,0.260725,0.4233
IGL@,0.106478,0.305069,0.190838,0.1150
U8,0.205224,0.226022,0.284605,0.7283
U5,0.173128,0.251975,0.224677,0.7800
PNMT,0.251951,0.116515,0.137585,0.8150
GRB7,0.251951,0.116515,0.137585,0.8150
C17orf37,0.251951,0.116515,0.137585,0.8150
IKZF3,0.251951,0.116515,0.137585,0.8150
PERLD1,0.251951,0.116515,0.137585,0.8150
TCAP,0.251951,0.116515,0.137585,0.8150
ERBB2,0.251951,0.116515,0.137585,0.8150
AC079199.2,0.251951,0.116515,0.137585,0.8150
SNORA40,0.171660,0.182392,0.215975,0.8750
SSU_rRNA_5,0.133793,0.170587,0.194776,0.4900
C1orf71,0.122874,0.177200,0.073908,0.2983
SNORA48,0.117308,0.172733,0.158106,0.6800
CRKRS,0.166552,0.074444,0.100099,0.6233
SNORA71,0.097268,0.144715,0.165523,0.1267
SNORA25,0.101080,0.150815,0.164475,0.6000
SNORA51,0.141176,0.141310,0.160835,0.6383
SNORD111,0.024488,0.138827,0.155377,0.2667
VAC14,0.021268,0.143375,0.151441,0.3050
AC009022.10,0.036139,0.149944,0.121445,0.2350
SNORA3,0.081665,0.135950,0.147339,0.5967
SNORA11,0.124891,0.105449,0.146753,0.5283
SNORD74,0.068197,0.098897,0.135257,0.3983
SNORD45,0.062772,0.098246,0.130893,0.6100
SMYD3,0.076475,0.129833,0.080102,0.3800
AARS,0.019506,0.114168,0.127224,0.3083
SNORA63,0.120212,0.098395,0.126135,0.4317
Z93241.11-1,0.030766,0.126040,0.114591,0.4000
SNORA2,0.064817,0.122494,0.076770,0.3167
SNORA26,0.084564,0.110271,0.113495,0.4917
